"order","family","genus","species","binomial","habitat.mode","diet.invertivore.tot","diet.carnivore.tot","diet.browser.tot","diet.grazer.tot","diet.piscivore.tot","diet.frugivore.tot","avg.mass","n.cont","iucn","continent.Africa","continent.North.America","continent.South.America","continent.Eurasia","continent.Australia","diet.breadth","family.origin","Max_longevity_d","Rspan_d","AFR_d","Calculated_GL_d","GenerationLength_d","accepted_name","lw.range","hi.range","foss.age","age.median","current.range","present.natural.range","current.range.km2","present.natural.range.km2","home.range.km2","gr.area.km2","indiv.home.range.km2","dispersal.age.d","log.mass","log.size.bin","qtr.bin"
"Afrosoricida","Chrysochloridae","Chrysochloris","visagiei","Chrysochloris visagiei","terr- fossorial",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,30,"1","DD",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Africa","no information","no information","no information","no information",1036.557583,NA,NA,NA,NA,1.573070036,1,1,9312.36848664304,9312.36848664304,NA,137.09,NA,NA,1.47712125471966,1,"(1.25,1.5]"
"Afrosoricida","Chrysochloridae","Chrysospalax","trevelyani","Chrysospalax trevelyani","terr- fossorial",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,426.501,"1","EN",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Africa","1460","no information","no information","no information",1058.98334,NA,NA,NA,NA,2.694144815,14,14,130373.158813003,130373.158813003,0.000603,43844.11,0.000615,NA,2.6299200537778,2,"(2.5,2.75]"
"Afrosoricida","Chrysochloridae","Chrysospalax","villosus","Chrysospalax villosus","terr- fossorial",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,119.875,"1","VU",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Africa","no information","no information","no information","no information",1058.98334,NA,NA,NA,NA,2.694144815,21,21,195559.738219504,195559.738219504,NA,170736.37,NA,NA,2.07872862017872,2,"(2,2.25]"
"Afrosoricida","Chrysochloridae","Cryptochloris","wintoni","Cryptochloris wintoni","terr- fossorial",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"1","CR",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Africa","no information","no information","no information","no information",1036.557583,NA,NA,NA,NA,1.9133452205,0,1,0,9312.36848664304,NA,1.45,NA,NA,NA,NA,NA
"Afrosoricida","Chrysochloridae","Cryptochloris","zyli","Cryptochloris zyli","terr- fossorial",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,25,"1","EN",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Africa","no information","no information","no information","no information",1036.557583,NA,NA,NA,NA,1.9133452205,4,4,37249.4739465721,37249.4739465721,NA,7.83,NA,NA,1.39794000867204,1,"(1.25,1.5]"
"Afrosoricida","Chrysochloridae","Eremitalpa","granti","Eremitalpa granti","terr- fossorial",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,26.1,"1","LC",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Africa","730","no information","no information","no information",1036.557583,NA,NA,NA,NA,9.3271387155,20,20,186247.369732861,186247.369732861,0.03,66653.99,0.03,NA,1.41664050733828,1,"(1.25,1.5]"
"Afrosoricida","Chrysochloridae","Neamblysomus","gunningi","Neamblysomus gunningi","terr- fossorial",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,28.135,"1","EN",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Africa","no information","no information","no information","no information",1036.557583,NA,NA,NA,NA,0.9095889164,6,6,55874.2109198582,55874.2109198582,NA,87.66,NA,NA,1.44924691949001,1,"(1.25,1.5]"
"Afrosoricida","Chrysochloridae","Neamblysomus","julianae","Neamblysomus julianae","terr- fossorial",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,22,"1","EN",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Africa","no information","no information","no information","no information",1036.557583,NA,NA,NA,NA,0.9095889164,9,9,83811.3163797873,83811.3163797873,NA,13822.31,NA,NA,1.34242268082221,1,"(1.25,1.5]"
"Afrosoricida","Tenrecidae","Micropotamogale","lamottei","Micropotamogale lamottei","terr",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,69.6,"1","VU",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Africa","no information","no information","no information","no information",1036.557583,NA,NA,NA,NA,6.3634304095,7,7,65186.5794065013,65186.5794065013,NA,57563.41,NA,NA,1.84260923961056,1,"(1.75,2]"
"Afrosoricida","Tenrecidae","Micropotamogale","ruwenzorii","Micropotamogale ruwenzorii","terr",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,98.501,"1","LC",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Africa","no information","no information","no information","no information",1058.98334,NA,NA,NA,NA,6.3634304095,14,14,130373.158813003,130373.158813003,NA,177049.48,NA,NA,1.99344063955627,1,"(1.75,2]"
