family,final.continent,continent,continent_reference,first origin time (mya),time_reference,notes,,,,,
Muridae,,,,,,"either Africa, Eurasia, or Insular (Philippines); Aghová, T., Kimura, Y., Bryja, J., Dobigny, G., Granjon, L. and Kergoat, G.J., 2018. Fossils know it best: using a new set of fossil calibrations to improve the temporal phylogenetic framework of murid rodents (Rodentia: Muridae). Molecular Phylogenetics and Evolution, 128, pp.98-111.",,,,,
Mustelidae,Eurasia,Eurasia,76,Late Oligocene,23,,,,,,
Mylodontidae,South.America,South America,77,,,,,,,,
Myocastoridae,South.America,South America,51,Oligocene,8,,,,,,
Myrmecobiidae,Australia,Australia,33,,,,,,,,
Myrmecophagidae,South.America,South America,12,,,,,,,,
Mystacinidae,Australia,Australia,78,,,,,,,,
Myzopodidae,Africa,Africa,80,,,,,,,,
Nandiniidae,,,,34.4–31.1,24,Likely Africa,,,,,
Natalidae,North.America,North America,79; 81,,,,,,,,bats
Neobalaenidae,,,,,,not enough fossils; now endemic to southern oceans,,,,,
Nesomyidae,Africa,Africa,51,,,,,,,,
Nesophontidae,Insular,Insular,82,,,West Indies,,,,,
Noctilionidae,South.America,South America,79,,,,,,,,bats
Nothrotheriidae,North.America,North America,49,,,,,,,,
Notoryctidae,Australia,Australia,83,,,,,,,,
Nycteridae,,,,,,"Originated in the ""Old World""",,,,,
Ochotonidae,Eurasia,Eurasia,84,,,,,,,,
Octodontidae,South.America,South America,1; 51,,,,,,,,
Odobenidae,North Pacific,North Pacific,85,,,walruses; Many fossils found from the Pacific (western USA),,,,,
Ornithorhynchidae,Australia,Australia,86; 115,,,,,,,,
Orycteropodidae,Africa,Africa,37; 87,,,,,,,,
Otariidae,North.America,North America,85,,,,,,,,
Palaeopropithecidae,Insular,Insular (Madagascar),88,20.8 +/- 3.6,25,,,,,,
Pedetidae,Africa,Africa,89; 114,,,,,,,,
Peramelidae,Australia,Australia,33,,,,,,,,
Petauridae,Australia,Australia,33,25.715,37,,,,,,
Petromuridae,Africa,Africa,90,,,,,,,,
Phalangeridae,Australia,Australia,33,,,,,,,,
Phascolarctidae,Australia,Australia,33,25.715,37,,,,,,
Phocidae,North.America,North America,85,,,,,,,,
Phocoenidae,,,,,,,,,,,
Phyllostomidae,South.America,South America,79,,,,,,,,
Physeteridae,,,,,,,,,,,
Pitheciidae,South.America,South America,91,20.2,26,,,,,,
Platacanthomyidae,Eurasia,Eurasia,92,,,,,,,,
Platanistidae,Marine,North Atlantic,93,16.5-16.7,27,,,,,,
Plesiorycteropodidae,Insular,Insular (Madagascar),94,,,,,,,,
Potoroidae,Australia,Australia,95,,,,,,,,
Procaviidae,Africa,Africa,37,,,,,,,,
Procyonidae,Eurasia,Eurasia,96,20,28,,,,,,
Prolagidae,Eurasia,Eurasia,97,,,,,,,,
Pseudocheiridae,Australia,Australia,33,25.715,37,,,,,,
Pteropodidae,Eurasia,Eurasia,98,26,29,,,,,,
Ptilocercidae,Eurasia,Eurasia,99,60.19,30,,,,,,
Rhinocerotidae,North.America,North America,100; 109,51,31,,,,,,
Rhinolophidae,Eurasia,Eurasia,101,,,,,,,,
Rhinopomatidae,Eurasia,Eurasia,70,,,,,,,,
Sciuridae,,,,,,"Oldest fossils in North America, but some hypotheses point to Eurasia as the origin. Still unresolved.","Rocha, R.G., Leite, Y.L.R., Costa, L.P. and Rojas, D., 2016. Independent reversals to terrestriality in squirrels (Rodentia: Sciuridae) support ecologically mediated modes of adaptation. Journal of evolutionary biology, 29(12), pp.2471-2479.",,,,
Solenodontidae,Insular,Insular,102,43.6-68.6,32,"note: thought to have diverged from North America ancestor, but think Solenodontidae and Nesophontidae likely evolved on Caribbean islands",,,,,
Soricidae,Eurasia,Eurasia,103,,,,,,,,
Spalacidae,Eurasia,Eurasia,104,,,,,,,,
Stegodontidae,Africa,Africa,105,,,,,,,,
Suidae,Eurasia,Eurasia,106,35,33,,note: we might want to find a second reference as I could not access the original reference cited by this paper,,,,
Tachyglossidae,Australia,Australia,107; 108,,,,,,,,
Talpidae,Eurasia,Eurasia,110,,,,,,,,
Tapiridae,North.America,North America,109,51,31,,,,,,
Tarsiidae,Eurasia,Eurasia,111,45,34,,,,,,
Tarsipedidae,Australia,Australia,33,,,,,,,,
Tayassuidae,Eurasia,Eurasia,112; 113,,,,,,,,
Tenrecidae,Africa,Africa,23,,,,,,,,
Thryonomyidae,Africa,Africa,116,,,,,,,,
Thylacinidae,Australia,Australia,33,25.715,37,,,,,,
Thylacoleonidae,Australia,Australia,33,,,,,,,,
Thylacomyidae,Australia,Australia,33,,,,,,,,
Thyropteridae,South.America,South America,79,,,,,,,,
Toxodontidae,South.America,South America,117,,,,,,,,
Tragulidae,Africa,Africa,118,19-20,35,,,,,,
Trichechidae,Africa,Africa,37,,,,,,,,
Tupaiidae,Eurasia,Eurasia,119; 120,16.19,30,,,,,,
Ursidae,North.America,North America,121; 122,37,36,,,,,,
Vespertilionidae,North.America,North America,79,,,,,,,,
Viverridae,Eurasia,Eurasia,123,,,,,,,,
Vombatidae,Australia,Australia,124,25.715,37,,,,,,
Ziphiidae,Marine,Southern Oceans,,,,,,,,,
