Binomial.1.2,Order.1.2,Family.1.2,current.range,present.natural.range,current.range.km2,present.natural.range.km2
Meles_anakuma,Carnivora,Mustelidae,61,61,568054.4776852252,568054.4776852252
Meles_leucurus,Carnivora,Mustelidae,1975,1975,18391927.761119995,18391927.761119995
Meles_meles,Carnivora,Mustelidae,1346,1346,12534447.983021526,12534447.983021526
Mellivora_capensis,Carnivora,Mustelidae,3552,3552,33077532.864556063,33077532.864556063
Melogale_cucphuongensis,Carnivora,Mustelidae,1,1,9312.368486643036,9312.368486643036
Melogale_everetti,Carnivora,Mustelidae,1,99,9312.368486643036,921924.4801776606
Melogale_moschata,Carnivora,Mustelidae,415,415,3864632.92195686,3864632.92195686
Melogale_orientalis,Carnivora,Mustelidae,32,32,297995.79157257715,297995.79157257715
Melogale_personata,Carnivora,Mustelidae,282,282,2626087.913233336,2626087.913233336
Melomys_aerosus,Rodentia,Muridae,1,7,9312.368486643036,65186.57940650125
Melomys_arcium,Rodentia,Muridae,3,3,27937.10545992911,27937.10545992911
Melomys_bannisteri,Rodentia,Muridae,3,3,27937.10545992911,27937.10545992911
Melomys_bougainville,Rodentia,Muridae,9,9,83811.31637978733,83811.31637978733
Melomys_burtoni,Rodentia,Muridae,144,144,1340981.0620765972,1340981.0620765972
Melomys_capensis,Rodentia,Muridae,14,14,130373.1588130025,130373.1588130025
Melomys_caurinus,Rodentia,Muridae,2,2,18624.73697328607,18624.73697328607
Melomys_cervinipes,Rodentia,Muridae,65,65,605303.9516317974,605303.9516317974
Melomys_cooperae,Rodentia,Muridae,2,2,18624.73697328607,18624.73697328607
Melomys_dollmani,Rodentia,Muridae,13,13,121060.79032635946,121060.79032635946
Melomys_fraterculus,Rodentia,Muridae,1,7,9312.368486643036,65186.57940650125
Melomys_frigicola,Rodentia,Muridae,2,2,18624.73697328607,18624.73697328607
Melomys_fulgens,Rodentia,Muridae,1,7,9312.368486643036,65186.57940650125
Melomys_howi,Rodentia,Muridae,3,3,27937.10545992911,27937.10545992911
Melomys_leucogaster,Rodentia,Muridae,53,53,493555.5297920809,493555.5297920809
Melomys_lutillus,Rodentia,Muridae,69,69,642553.4255783695,642553.4255783695
Melomys_matambuai,Rodentia,Muridae,4,4,37249.47394657214,37249.47394657214
Melomys_obiensis,Rodentia,Muridae,3,3,27937.10545992911,27937.10545992911
Melomys_paveli,Rodentia,Muridae,1,7,9312.368486643036,65186.57940650125
Melomys_rubicola,Rodentia,Muridae,0,1,0,9312.368486643036
Melomys_rufescens,Rodentia,Muridae,159,159,1480666.5893762426,1480666.5893762426
Melomys_talaudium,Rodentia,Muridae,2,2,18624.73697328607,18624.73697328607
Melursus_ursinus,Carnivora,Ursidae,244,244,2272217.910740901,2272217.910740901
Menetes_berdmorei,Rodentia,Sciuridae,186,186,1732100.5385156046,1732100.5385156046
Mephitis_macroura,Carnivora,Mephitidae,254,254,2365341.595607331,2365341.595607331
Mephitis_mephitis,Carnivora,Mephitidae,1494,1494,13912678.519044695,13912678.519044695
Meriones_arimalius,Rodentia,Muridae,42,42,391119.4764390075,391119.4764390075
Meriones_chengi,Rodentia,Muridae,16,16,148997.89578628857,148997.89578628857
Meriones_crassus,Rodentia,Muridae,1003,1003,9340305.592102965,9340305.592102965
Meriones_dahli,Rodentia,Muridae,2,2,18624.73697328607,18624.73697328607
Meriones_grandis,Rodentia,Muridae,112,112,1042985.27050402,1042985.27050402
Meriones_hurrianae,Rodentia,Muridae,85,85,791551.3213646581,791551.3213646581
Meriones_libycus,Rodentia,Muridae,1099,1099,10234292.966820696,10234292.966820696
Meriones_meridianus,Rodentia,Muridae,779,779,7254335.051094925,7254335.051094925
Meriones_persicus,Rodentia,Muridae,302,302,2812335.282966197,2812335.282966197
Meriones_rex,Rodentia,Muridae,39,39,363182.3709790784,363182.3709790784
Meriones_sacramenti,Rodentia,Muridae,7,7,65186.57940650125,65186.57940650125
Meriones_shawi,Rodentia,Muridae,124,124,1154733.6923437365,1154733.6923437365
Meriones_tamariscinus,Rodentia,Muridae,409,409,3808758.7110370016,3808758.7110370016
Meriones_tristrami,Rodentia,Muridae,149,149,1387542.9045098124,1387542.9045098124
