"genus","cont","phyl.age","fossil.age"
"Cercartetus",1,34.8000252597,33.9
"Cercocebus",1,6.50558047546502,11.608
"Cercopithecus",1,8.88909916856,23.03
"Cerdocyon",1,2.184184457,10.1
"Cervalces",1,NA,5.332
"Cervus",3,5.23965107042497,23.03
"Chaerephon",2,23.926130985125,NA
"Chaeropus",1,18.985348075,NA
"Chaetocauda",1,10.3707651405,NA
"Chaetodipus",1,21.1301635551999,2.588
"Chaetomys",1,29.42104264,NA
"Chaetophractus",1,5.40205004644997,11.608
"Chalinolobus",1,6.87439593569996,NA
"Chelemys",1,5.02150733145493,NA
"Chibchanomys",1,9.07423587044993,NA
"Chilomys",1,2.883029603,NA
"Chimarrogale",1,2.68362129374997,2.588
"Chinchilla",1,13.72272156485,NA
"Chinchillula",1,2.493885214,NA
"Chionomys",1,5.47741806469744,0.781
"Chiroderma",2,6.61099422900998,NA
"Chiromyscus",1,10.0357888575,NA
"Chironax",1,1.719504836,NA
"Chironectes",2,12.221352245,11.608
"Chiropodomys",1,10.6891111644,2.588
"Chiropotes",1,12.744681874,0.012
"Chlamydotherium",1,NA,2.588
"Chlamyphorus",1,14.461352655,NA
"Chlorocebus",1,7.22838757238999,5.332
"Chlorotalpa",1,5.27479516150002,5.332
"Chodsigoa",1,6.09633027399999,NA
"Choeroniscus",2,6.61274032784993,NA
"Choeronycteris",1,2.1580394235,NA
"Choloepus",2,8.80671785899998,0.012
"Chrotogale",1,9.156620201,NA
"Chrotopterus",2,11.6276007,2.588
"Chrysochloris",1,6.74630891394999,23.03
"Chrysocyon",1,1.52276479,4.9
"Chrysospalax",1,4.50667936294998,5.332
"Cistugo",1,41.98587157605,NA
"Civettictis",1,9.1366051875,5.332
"Cloeotis",1,14.848648715,NA
"Clyomys",1,6.74064592210501,11.608
"Coelodonta",1,15.615996145,5.332
"Coelops",1,13.41747923145,NA
"Coendou",1,6.49285346585005,2.588
"Coleura",2,6.38622337494997,NA
"Colobus",1,10.131734079,11.608
"Colomys",1,0.74781331195,0.126
"Condylura",1,13.48985026,2.588
"Conepatus",2,11.6423121129,23.03
"Congosorex",1,20.63393668945,NA
"Conilurus",1,3.01785874298994,2.588
"Connochaetes",1,2.83740006839005,23.03
"Cormura",2,12.595946935,NA
"Corynorhinus",1,9.40130664836002,NA
"Craseonycteris",1,46.24999363,NA
"Cratogeomys",1,8.008850617415,4.9
"Cremnomys",1,5.13385579307497,NA
"Cricetomys",1,9.53730400235002,2.588
"Cricetulus",1,12.717830821455,7.246
"Cricetus",1,1.9458050715,23.03
"Crocidura",2,20.83429734599,11.1
"Crocuta",2,5.29999927,15.97
"Crossarchus",1,2.04758802158497,5.332
"Cryptochloris",1,6.74630891394998,NA
"Cryptomys",1,11.712798385,7.246
"Cryptotis",2,16.01313248005,9.5
"Ctenodactylus",1,5.82523610599999,NA
"Ctenomys",1,22.9300268907,4
"Cuniculus",2,32.1900256127,0.126
"Cuon",2,2.9849591235,2.588
"Cuscomys",1,20.0235186572,NA
"Cuvieronius",1,9.4301403815,10.3
"Cyclopes",2,38.64999468,0.012
"Cynictis",1,1.5717900575,3.6
"Cynocephalus",1,7.40999898,NA
"Cynogale",1,14.53349629,NA
"Cynomops",2,6.73904232085001,NA
"Cynomys",1,10.62337164835,15.97
"Cynopterus",1,7.53417572879998,NA
"Cystophora",2,9.6707629385,0.012
"Cyttarops",2,9.607467507,NA
"Dacnomys",1,5.795998404,NA
"Dactylomys",1,4.08266543445001,0.012
"Dactylopsila",1,9.95382034284996,NA
"Dama",1,6.15186396745,NA
"Damaliscus",1,0.870533884615515,23.03
"Dasycercus",1,4.97410207539995,2.588
"Dasykaluta",1,8.4627341865,NA
"Dasymys",1,6.69346320139003,5.332
"Dasyprocta",2,20.60184493585,2.588
"Dasypus",2,22.27949085695,9
"Dasyuroides",1,6.571953633,2.588
"Dasyurus",1,7.37395785359997,5.332
"Delanymys",1,10.073115294,NA
"Delomys",1,8.42797719914994,NA
"Deltamys",1,3.809889475,NA
"Dendrogale",1,35.0000252277,NA
"Dendrohyrax",1,6.07002921500003,11.608
"Dendrolagus",1,5.89213345084996,5.332
"Dendromus",1,8.41913444070007,11.608
"Dendroprionomys",1,6.914433286,NA
"Deomys",1,13.139750665,NA
"Dephomys",1,5.588213523,NA
"Desmana",1,8.7234591725,8.7
"Desmodilliscus",1,10.129453605,NA
"Desmodillus",1,9.1658101875,7.246
"Desmodus",2,11.034229525795,4.9
"Desmomys",1,5.96378935194004,NA
"Diaemus",2,11.034145946,NA
"Dicerorhinus",1,9.965552673,28.4
"Diceros",1,16.68609591,23.03
"Diclidurus",2,17.51901823225,NA
"Dicolpomys",1,NA,2.588
"Dicrostonyx",1,10.538935091155,2.588
"Didelphis",2,9.00255546185,11.608
"Dinaromys",1,4.7342487645,NA
"Dinomys",1,28.18999612,0.012
"Diomys",1,10.7666139425,NA
"Diphylla",2,19.679948605,NA
"Diplogale",1,11.744848905,NA
"Diplomesodon",1,10.7793739275,5.332
"Diplomys",1,4.84893370710248,0.012
"Dipodillus",2,NA,NA
"Dipodomys",1,15.48000041335,4.9
"Diprotodon",1,5.5488601425,23.03
"Dipus",1,5.3533942625,NA
"Dobsonia",1,5.97088353914997,NA
"Doedicurus",1,6.7539783025,3
"Dolichotis",1,15.82456542935,2.588
"Dologale",1,0.823294933,NA
"Dorcatragus",1,3.952094055,NA
"Dremomys",1,11.51156047015,8.7
"Dromiciops",1,64.17999116,NA
"Dryomys",1,10.3707736785,23.03
"Dugong",1,10.55304855,5.332
"Dusicyon",1,1.52278984641005,2.588
"Echimys",1,2.82176384136497,0.126
"Echinoprocta",1,6.492838425,NA
"Echinosorex",1,6.877124053,NA
"Echymipera",1,11.8135384241999,NA
"Ectophylla",2,7.3580992445,NA
"Eidolon",2,9.22819473099998,3.6
"Eira",2,11.08480023,0.126
"Elaphodus",1,10.620350285,0.126
"Elaphurus",1,6.2538344325,0.126
"Elephantulus",1,49.140023281,23.03
"Elephas",1,17.64555781765,40.4
"Eligmodontia",1,3.28229393005496,0.781
"Eliomys",2,13.93902057035,23.03
"Ellobius",1,11.479833709405,5.332
"Emballonura",1,25.31676731725,NA
"Enchisthenes",2,8.86675787,NA
"Enhydra",1,7.8632380105,3.6
"Eoglaucomys",1,9.5270923245,NA
"Eolagurus",1,5.24521563371,2.588
"Eonycteris",1,7.38682039279999,NA
"Eospalax",1,10.3703224587,NA
"Eothenomys",1,10.465722717645,0.781
"Eozapus",1,11.675014602,11.608
"Episoriculus",1,12.673451039275,7.246
"Epixerus",1,8.1000138845,NA
"Epomophorus",1,1.44919070252499,NA
"Epomops",1,2.22553550868998,NA
"Eptesicus",2,24.21179649155,20
"Equus",1,56.8299893245399,23.03
"Eremitalpa",1,9.626902556,NA
"Eremodipus",1,4.4610493855,NA
"Eremotherium",2,3.7991495795,23.03
"Erethizon",1,12.7551002,4.9
"Erignathus",2,11.447800315,2.588
"Erinaceus",1,9.22533030120001,11.608
"Erythrocebus",1,7.2283693225,NA
"Euceratherium",1,1.917394737,2.588
"Euchoreutes",1,14.270748775,NA
"Euderma",1,18.71150019,NA
"Eudiscopus",1,7.057061296,NA
"Eudorcas",1,2.688162551025,NA
"Eulamaops",1,NA,0.781
"Eumetopias",2,1.923244817,5.332
"Eumops",2,19.205954664695,12.2
"Euneomys",1,5.70046623060493,NA
"Euoticus",1,19.90002732,NA
"Euowenia",1,NA,5.332
"Eupetaurus",1,1.808410332,NA
"Euphractus",1,7.490195487,23.03
"Euroscaptor",1,16.2450278125,NA
"Euryzygomatomys",1,8.047252966,2.588
"Eutatus",1,20.00429542,17.5
"Falsistrellus",1,6.14235758207496,NA
"Felis",2,5.00907637088993,23.03
"Felovia",1,32.957047285,NA
"Funambulus",1,26.57388838235,NA
"Funisciurus",1,11.5413401983,2.588
"Furipterus",2,11.49999842,NA
"Galago",1,9.92790569479998,11.608
"Galea",1,18.71489548035,2.588
"Galemys",1,8.7234591725,5.332
"Galenomys",1,4.6299246905,NA
"Galeopterus",1,7.40999898,NA
"Galerella",1,NA,NA
"Galictis",2,5.33570969335001,2.588
"Gazella",2,2.78168630086494,23.03
"Genetta",2,8.29276379295493,15.97
"Geomys",1,17.82502055485,9.9
"Georychus",1,13.24474875,2.588
"Geoxus",1,3.404250088,NA
"Gerbilliscus",1,9.87015209564996,NA
"Gerbillurus",1,16.0605955595,0.126
"Gerbillus",2,10.3723779088,5.332
"Giraffa",1,7.799998926,23.03
"Girbilliscus",1,NA,NA
"Glaucomys",1,7.34511985126002,4.9
"Glauconycteris",1,8.41879466110001,NA
"Glironia",1,23.631147785,NA
"Glis",1,12.967151085,33.9
"Glischropus",1,5.89125295882501,NA
"Glossophaga",2,7.65958014053998,0.012
"Glossotherium",1,0.5062750288,6.8
"Glyphonycteris",2,4.99084737549497,NA
"Glyptodon",1,7.37436465551001,3.6
"Glyptotherium",1,7.17058173864497,5.332
"Golunda",1,10.9592908425,NA
"Gorilla",1,8.44589158200002,NA
"Gracilinanus",1,11.08739153185,2.588
"Grammomys",1,5.06877069892493,2.588
"Graomys",1,3.76979529770496,0.012
"Graphiurus",1,28.3422211442,7.246
"Gulo",2,9.040413129,2.588
"Gymnobelideus",1,16.726748525,NA
"Habromys",1,5.55689160381498,NA
"Hadromys",1,10.9403160508999,NA
"Halichoerus",2,1.7240203165,0.4
"Handleyomys",1,6.85070176524995,NA
"Hapalomys",1,10.6891111644,2.588
"Harpiocephalus",1,15.08083000495,NA
"Heimyscus",1,4.7286458685,NA
"Helarctos",1,3.412414678,NA
"Heliophobius",1,25.6030518,NA
"Heliosciurus",1,18.49549060635,0.012
"Helogale",1,0.823310461474964,11.608
"Hemiauchenia",1,10.13078631819,23.03
"Hemibelideus",1,9.303505812,NA
"Hemiechinus",1,3.03860477904998,5.332
"Hemigalus",1,9.156620201,NA
"Hemitragus",1,1.35258987057003,5.332
"Herpestes",2,11.60002846191,16.9
"Hesperoptenus",1,8.53775483059999,NA
"Heterocephalus",1,40.61838971,5.332
"Heterohyrax",1,3.2910256045,11.1
"Heteromys",2,7.96717515434999,0.126
"Hexaprotodon",1,2.110325164,23.03
"Hippidion",1,4.72427219863998,7.6
"Hippocamelus",1,1.93802805375,37.2
"Hippopotamus",2,8.00002895351003,23.03
"Hipposideros",2,23.67199330195,40.4
"Hippotragus",1,4.60421948636552,11.608
"Histiotus",1,6.81859089825002,2.6
"Histriophoca",1,3.5034941565,12.7
"Hodomys",1,7.901185591,4.9
"Holmesi",1,NA,NA
"Holochilus",1,1.66268092050001,2.588
"Homotherium",1,23.15272686891,23.03
"Hoplomys",2,12.515497415,NA
"Hoplophorus",1,7.273988998,9
"Huetia",1,11.643598395,NA
"Hyaena",2,2.029859459,23.03
"Hybomys",1,5.58827031820999,NA
"Hydrictis",1,7.796214256,NA
"Hydrochoeris",1,NA,NA
"Hydromys",1,4.26271403745504,2.588
"Hydropotes",1,9.4873115175,2.588
"Hydrurga",1,3.1504349555,15.97
"Hyemoschus",1,36.948950915,NA
"Hyladelphys",1,26.761450645,NA
"Hylobates",1,5.92636852250001,0.126
