"","order","family","genus","species","binomial","diet.invertivore.tot","diet.carnivore.tot","diet.browser.tot","diet.grazer.tot","diet.piscivore.tot","diet.frugivore.tot","avg.mass","n.cont","continent.Africa","continent.North.America","continent.South.America","continent.Eurasia","continent.Australia","diet.breadth"
"37","Soricomorpha","Soricidae","Sorex","trowbridgii","Sorex trowbridgii",1,0,0,0,0,0,3.8,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"38","Chiroptera","Vespertilionidae","Neoromicia","somalicus","Neoromicia somalicus",1,0,0,0,0,0,3.8,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"39","Chiroptera","Vespertilionidae","Vespadelus","vulturnus","Vespadelus vulturnus",1,0,0,0,0,0,3.815,1,FALSE,FALSE,FALSE,FALSE,TRUE,1
"40","Chiroptera","Vespertilionidae","Neoromicia","nanus","Neoromicia nanus",1,0,0,0,0,0,3.886,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"41","Soricomorpha","Soricidae","Crocidura","fuscomurina","Crocidura fuscomurina",1,0,0,0,0,0,3.917,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"42","Rodentia","Dipodidae","Salpingotulus","michaelis","Salpingotulus michaelis",0,0,1,0,0,1,3.92,1,FALSE,FALSE,FALSE,TRUE,FALSE,2
"43","Chiroptera","Hipposideridae","Hipposideros","halophyllus","Hipposideros halophyllus",1,0,0,0,0,0,4,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"44","Chiroptera","Vespertilionidae","Murina","suilla","Murina suilla",1,0,0,0,0,0,4,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"45","Chiroptera","Vespertilionidae","Myotis","ridleyi","Myotis ridleyi",1,0,0,0,0,0,4,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"46","Chiroptera","Vespertilionidae","Pipistrellus","tenuis","Pipistrellus tenuis",1,0,0,0,0,0,4,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"47","Chiroptera","Emballonuridae","Saccopteryx","gymnura","Saccopteryx gymnura",1,0,0,0,0,0,4,1,FALSE,FALSE,TRUE,FALSE,FALSE,1
"48","Soricomorpha","Soricidae","Crocidura","obscurior","Crocidura obscurior",1,0,0,0,0,0,4,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"49","Soricomorpha","Soricidae","Sylvisorex","granti","Sylvisorex granti",1,0,0,0,0,0,4,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"50","Chiroptera","Hipposideridae","Cloeotis","percivali","Cloeotis percivali",1,0,0,0,0,0,4.05,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"51","Chiroptera","Vespertilionidae","Myotis","elegans","Myotis elegans",1,0,0,0,0,0,4.05,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"52","Chiroptera","Vespertilionidae","Kerivoula","pellucida","Kerivoula pellucida",1,0,0,0,0,0,4.1,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"53","Chiroptera","Hipposideridae","Hipposideros","doriae","Hipposideros doriae",1,0,0,0,0,0,4.2,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"54","Chiroptera","Emballonuridae","Rhynchonycteris","naso","Rhynchonycteris naso",2,0,0,0,0,0,4.207,2,FALSE,TRUE,TRUE,FALSE,FALSE,2
"55","Chiroptera","Vespertilionidae","Myotis","nigricans","Myotis nigricans",2,0,0,0,0,0,4.24,2,FALSE,TRUE,TRUE,FALSE,FALSE,2
"56","Dasyuromorphia","Dasyuridae","Planigale","ingrami","Planigale ingrami",1,0,0,0,0,0,4.25,1,FALSE,FALSE,FALSE,FALSE,TRUE,1
"57","Chiroptera","Vespertilionidae","Murina","florium","Murina florium",1,0,0,0,0,0,4.25,1,FALSE,FALSE,FALSE,FALSE,TRUE,1
"58","Chiroptera","Emballonuridae","Balantiopteryx","io","Balantiopteryx io",1,0,0,0,0,0,4.3,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"59","Soricomorpha","Soricidae","Crocidura","douceti","Crocidura douceti",1,0,0,0,0,0,4.3,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"60","Soricomorpha","Soricidae","Sylvisorex","howelli","Sylvisorex howelli",1,0,0,0,0,0,4.317,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"61","Chiroptera","Vespertilionidae","Nyctophilus","walkeri","Nyctophilus walkeri",1,0,0,0,0,0,4.335,1,FALSE,FALSE,FALSE,FALSE,TRUE,1
"62","Chiroptera","Vespertilionidae","Myotis","fortidens","Myotis fortidens",1,0,0,0,0,0,4.35,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"63","Chiroptera","Vespertilionidae","Rhogeessa","parvula","Rhogeessa parvula",1,0,0,0,0,0,4.35,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"64","Chiroptera","Thyropteridae","Thyroptera","tricolor","Thyroptera tricolor",2,0,0,0,0,0,4.356,2,FALSE,TRUE,TRUE,FALSE,FALSE,2
"65","Chiroptera","Emballonuridae","Balantiopteryx","infusca","Balantiopteryx infusca",1,0,0,0,0,0,4.375,1,FALSE,FALSE,TRUE,FALSE,FALSE,1
"66","Soricomorpha","Soricidae","Notiosorex","crawfordi","Notiosorex crawfordi",1,0,0,0,0,0,4.393,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"67","Chiroptera","Vespertilionidae","Glischropus","tylopus","Glischropus tylopus",1,0,0,0,0,0,4.438,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"68","Chiroptera","Vespertilionidae","Rhogeessa","tumida","Rhogeessa tumida",1,0,0,0,0,0,4.45,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"69","Chiroptera","Vespertilionidae","Myotis","muricola","Myotis muricola",1,0,0,0,0,0,4.467,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"70","Soricomorpha","Soricidae","Sorex","minutus","Sorex minutus",1,0,0,0,0,0,4.5,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"71","Chiroptera","Vespertilionidae","Kerivoula","picta","Kerivoula picta",1,0,0,0,0,0,4.5,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"72","Chiroptera","Vespertilionidae","Scotoecus","albofuscus","Scotoecus albofuscus",1,0,0,0,0,0,4.5,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"73","Soricomorpha","Soricidae","Crocidura","shantungensis","Crocidura shantungensis",1,0,0,0,0,0,4.5,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"74","Chiroptera","Vespertilionidae","Kerivoula","hardwickii","Kerivoula hardwickii",1,0,0,0,0,0,4.53,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"75","Chiroptera","Vespertilionidae","Pipistrellus","rusticus","Pipistrellus rusticus",1,0,0,0,0,0,4.55,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"76","Chiroptera","Vespertilionidae","Pipistrellus","coromandra","Pipistrellus coromandra",1,0,0,0,0,0,4.6,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"77","Chiroptera","Vespertilionidae","Myotis","californicus","Myotis californicus",1,0,0,0,0,0,4.6,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"78","Chiroptera","Vespertilionidae","Pipistrellus","anchietae","Pipistrellus anchietae",1,0,0,0,0,0,4.6,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"79","Soricomorpha","Soricidae","Sorex","saussurei","Sorex saussurei",1,0,0,0,0,0,4.65,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"80","Soricomorpha","Soricidae","Suncus","megalura","Suncus megalura",1,0,0,0,0,0,4.65,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"81","Soricomorpha","Soricidae","Sorex","cinereus","Sorex cinereus",1,0,0,0,0,0,4.658,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"82","Rodentia","Cricetidae","Neusticomys","oyapocki","Neusticomys oyapocki",1,0,0,0,0,1,4.7,1,FALSE,FALSE,TRUE,FALSE,FALSE,2
"83","Chiroptera","Rhinolophidae","Rhinolophus","hipposideros","Rhinolophus hipposideros",2,0,0,0,0,0,4.709,2,TRUE,FALSE,FALSE,TRUE,FALSE,2
"84","Chiroptera","Vespertilionidae","Phoniscus","atrox","Phoniscus atrox",1,0,0,0,0,0,4.825,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"85","Chiroptera","Vespertilionidae","Myotis","ciliolabrum","Myotis ciliolabrum",1,0,0,0,0,0,4.89,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"86","Chiroptera","Hipposideridae","Aselliscus","stoliczkanus","Aselliscus stoliczkanus",1,0,0,0,0,0,4.9,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"87","Soricomorpha","Soricidae","Suncus","lixus","Suncus lixus",1,0,0,0,0,0,4.9,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"88","Chiroptera","Emballonuridae","Saccopteryx","leptura","Saccopteryx leptura",2,0,0,0,0,0,4.91,2,FALSE,TRUE,TRUE,FALSE,FALSE,2
"89","Soricomorpha","Soricidae","Cryptotis","parva","Cryptotis parva",1,0,0,0,0,0,4.983,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"90","Soricomorpha","Soricidae","Sorex","ornatus","Sorex ornatus",1,0,0,0,0,0,4.985,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"91","Chiroptera","Vespertilionidae","Myotis","mystacinus","Myotis mystacinus",2,0,0,0,0,0,NA,2,TRUE,FALSE,FALSE,TRUE,FALSE,2
"92","Soricomorpha","Soricidae","Crocidura","horsfieldii","Crocidura horsfieldii",1,0,0,0,0,0,5,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"93","Soricomorpha","Soricidae","Suncus","varilla","Suncus varilla",1,0,0,0,0,0,5,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"94","Soricomorpha","Soricidae","Sorex","dispar","Sorex dispar",1,0,0,0,0,0,5,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"95","Soricomorpha","Soricidae","Sorex","lyelli","Sorex lyelli",1,0,0,0,0,0,5,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"96","Soricomorpha","Soricidae","Suncus","malayanus","Suncus malayanus",1,0,0,0,0,0,5,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"97","Chiroptera","Vespertilionidae","Myotis","ruber","Myotis ruber",1,0,0,0,0,0,5,1,FALSE,FALSE,TRUE,FALSE,FALSE,1
"98","Chiroptera","Vespertilionidae","Vespadelus","douglasorum","Vespadelus douglasorum",1,0,0,0,0,0,5,1,FALSE,FALSE,FALSE,FALSE,TRUE,1
"99","Chiroptera","Emballonuridae","Centronycteris","maximiliani","Centronycteris maximiliani",2,0,0,0,0,0,5,2,FALSE,TRUE,TRUE,FALSE,FALSE,2
"100","Soricomorpha","Soricidae","Crocidura","attila","Crocidura attila",1,0,0,0,0,0,5,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"101","Soricomorpha","Soricidae","Cryptotis","mayensis","Cryptotis mayensis",1,0,0,0,0,0,5,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"102","Soricomorpha","Soricidae","Cryptotis","merriami","Cryptotis merriami",1,0,0,0,0,0,5,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"103","Soricomorpha","Soricidae","Cryptotis","hondurensis","Cryptotis hondurensis",1,0,0,0,0,0,5,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"104","Soricomorpha","Soricidae","Crocidura","yankariensis","Crocidura yankariensis",1,0,0,0,0,0,5,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"105","Rodentia","Nesomyidae","Delanymys","brooksi","Delanymys brooksi",0,0,0,0,0,1,5,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"106","Chiroptera","Rhinolophidae","Rhinolophus","marshalli","Rhinolophus marshalli",1,0,0,0,0,0,5.02,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"107","Chiroptera","Vespertilionidae","Nycticeinops","schlieffeni","Nycticeinops schlieffeni",2,0,0,0,0,0,5.043,2,TRUE,FALSE,FALSE,TRUE,FALSE,2
"108","Soricomorpha","Soricidae","Sorex","gracillimus","Sorex gracillimus",1,0,0,0,0,0,5.06,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"109","Chiroptera","Vespertilionidae","Chalinolobus","picatus","Chalinolobus picatus",1,0,0,0,0,0,5.1,1,FALSE,FALSE,FALSE,FALSE,TRUE,1
"110","Chiroptera","Vespertilionidae","Vespadelus","pumilus","Vespadelus pumilus",1,0,0,0,0,0,5.114,1,FALSE,FALSE,FALSE,FALSE,TRUE,1
"111","Chiroptera","Vespertilionidae","Myotis","leibii","Myotis leibii",1,0,0,0,0,0,5.133,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"112","Chiroptera","Vespertilionidae","Vespadelus","regulus","Vespadelus regulus",1,0,0,0,0,0,5.133,1,FALSE,FALSE,FALSE,FALSE,TRUE,1
"113","Chiroptera","Rhinolophidae","Rhinolophus","pusillus","Rhinolophus pusillus",1,0,0,0,0,0,5.15,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"114","Soricomorpha","Soricidae","Crocidura","ludia","Crocidura ludia",1,0,0,0,0,0,5.15,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"115","Soricomorpha","Soricidae","Sylvisorex","konganensis","Sylvisorex konganensis",1,0,0,0,0,0,5.15,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"116","Chiroptera","Vespertilionidae","Pipistrellus","javanicus","Pipistrellus javanicus",1,0,0,0,0,0,5.171,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"117","Soricomorpha","Soricidae","Sorex","monticolus","Sorex monticolus",1,0,0,0,0,0,5.25,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"118","Soricomorpha","Soricidae","Notiosorex","evotis","Notiosorex evotis",1,0,0,0,0,0,5.28,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"119","Chiroptera","Vespertilionidae","Myotis","brandtii","Myotis brandtii",1,0,0,0,0,0,5.3,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"120","Chiroptera","Vespertilionidae","Neoromicia","tenuipinnis","Neoromicia tenuipinnis",1,0,0,0,0,0,5.3,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"121","Chiroptera","Emballonuridae","Cyttarops","alecto","Cyttarops alecto",2,0,0,0,0,0,5.3,2,FALSE,TRUE,TRUE,FALSE,FALSE,2
"122","Chiroptera","Vespertilionidae","Myotis","albescens","Myotis albescens",2,0,0,0,0,0,5.3,2,FALSE,TRUE,TRUE,FALSE,FALSE,2
"123","Chiroptera","Vespertilionidae","Myotis","keaysi","Myotis keaysi",2,0,0,0,0,0,5.3,2,FALSE,TRUE,TRUE,FALSE,FALSE,2
"124","Chiroptera","Emballonuridae","Emballonura","monticola","Emballonura monticola",1,0,0,0,0,0,5.367,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"125","Soricomorpha","Soricidae","Sorex","caecutiens","Sorex caecutiens",1,0,0,0,0,0,5.375,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"126","Chiroptera","Vespertilionidae","Myotis","yumanensis","Myotis yumanensis",1,0,0,0,0,0,5.387,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"127","Soricomorpha","Soricidae","Cryptotis","nigrescens","Cryptotis nigrescens",1,0,0,0,0,0,5.4,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"128","Chiroptera","Emballonuridae","Peropteryx","macrotis","Peropteryx macrotis",2,0,0,0,0,0,5.421,2,FALSE,TRUE,TRUE,FALSE,FALSE,2
"129","Chiroptera","Vespertilionidae","Murina","tubinaris","Murina tubinaris",1,0,0,0,0,0,5.45,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
