"Binomial.1.2","Order.1.2","Family.1.2","current.range.x","present.natural.range.x","current.range.km2","present.natural.range.km2","current.range.y","present.natural.range.y","current.range","present.natural.range"
"Abditomys_latidens","Rodentia","Muridae",5,9,46561.8424332152,83811.3163797873,5,9,5,9
"Abeomelomys_sevia","Rodentia","Muridae",10,10,93123.6848664304,93123.6848664304,10,10,10,10
"Abrawayaomys_ruschii","Rodentia","Cricetidae",20,20,186247.369732861,186247.369732861,20,20,20,20
"Abrocoma_bennettii","Rodentia","Abrocomidae",28,28,260746.317626005,260746.317626005,28,28,28,28
"Abrocoma_boliviensis","Rodentia","Abrocomidae",1,1,9312.36848664304,9312.36848664304,1,1,1,1
"Abrocoma_budini","Rodentia","Abrocomidae",2,2,18624.7369732861,18624.7369732861,2,2,2,2
"Abrocoma_cinerea","Rodentia","Abrocomidae",82,82,763614.215904729,763614.215904729,82,82,82,82
"Abrocoma_famatina","Rodentia","Abrocomidae",4,4,37249.4739465721,37249.4739465721,4,4,4,4
"Abrocoma_shistacea","Rodentia","Abrocomidae",4,4,37249.4739465721,37249.4739465721,4,4,4,4
"Abrocoma_uspallata","Rodentia","Abrocomidae",1,1,9312.36848664304,9312.36848664304,1,1,1,1
"Abrocoma_vaccarum","Rodentia","Abrocomidae",1,1,9312.36848664304,9312.36848664304,1,1,1,1
"Abrothrix_andinus","Rodentia","Cricetidae",103,103,959173.954124233,959173.954124233,103,103,103,103
"Abrothrix_illutea","Rodentia","Cricetidae",12,12,111748.421839716,111748.421839716,12,12,12,12
"Abrothrix_jelskii","Rodentia","Cricetidae",89,89,828800.79531123,828800.79531123,89,89,89,89
"Abrothrix_lanosus","Rodentia","Cricetidae",17,17,158310.264272932,158310.264272932,17,17,17,17
"Abrothrix_longipilis","Rodentia","Cricetidae",116,116,1080234.74445059,1080234.74445059,116,116,116,116
"Abrothrix_olivaceus","Rodentia","Cricetidae",177,177,1648289.22213582,1648289.22213582,177,177,177,177
"Abrothrix_sanborni","Rodentia","Cricetidae",12,12,111748.421839716,111748.421839716,12,12,12,12
"Acinonyx_jubatus","Carnivora","Felidae",870,4269,8101760.58337944,39754501.0694791,870,4269,870,4269
"Acomys_airensis","Rodentia","Muridae",238,238,2216343.69982104,2216343.69982104,238,238,238,238
"Acomys_cahirinus","Rodentia","Muridae",534,534,4972804.77186738,4972804.77186738,534,534,534,534
"Acomys_cilicicus","Rodentia","Muridae",1,1,9312.36848664304,9312.36848664304,1,1,1,1
"Acomys_cineraceus","Rodentia","Muridae",166,166,1545853.16878274,1545853.16878274,166,166,166,166
"Acomys_dimidiatus","Rodentia","Muridae",270,270,2514339.49139362,2514339.49139362,270,270,270,270
"Acomys_ignitus","Rodentia","Muridae",22,22,204872.106706147,204872.106706147,22,22,22,22
"Acomys_johannis","Rodentia","Muridae",73,73,679802.899524942,679802.899524942,73,73,73,73
"Acomys_kempi","Rodentia","Muridae",91,91,847425.532284516,847425.532284516,91,91,91,91
"Acomys_louisae","Rodentia","Muridae",109,109,1015048.16504409,1015048.16504409,109,109,109,109
"Acomys_minous","Rodentia","Muridae",6,6,55874.2109198582,55874.2109198582,6,6,6,6
"Acomys_mullah","Rodentia","Muridae",35,35,325932.897032506,325932.897032506,35,35,35,35
"Acomys_nesiotes","Rodentia","Muridae",6,6,55874.2109198582,55874.2109198582,6,6,6,6
"Acomys_percivali","Rodentia","Muridae",43,43,400431.844925651,400431.844925651,43,43,43,43
"Acomys_russatus","Rodentia","Muridae",130,130,1210607.90326359,1210607.90326359,130,130,130,130
"Acomys_seurati","Rodentia","Muridae",46,46,428368.95038558,428368.95038558,46,46,46,46
"Acomys_spinosissimus","Rodentia","Muridae",247,247,2300155.01620083,2300155.01620083,247,247,247,247
"Acomys_subspinosus","Rodentia","Muridae",17,17,158310.264272932,158310.264272932,17,17,17,17
"Acomys_wilsoni","Rodentia","Muridae",186,186,1732100.5385156,1732100.5385156,186,186,186,186
"Aconaemys_fuscus","Rodentia","Octodontidae",8,8,74498.9478931443,74498.9478931443,8,8,8,8
"Aconaemys_porteri","Rodentia","Octodontidae",8,8,74498.9478931443,74498.9478931443,8,8,8,8
"Aconaemys_sagei","Rodentia","Octodontidae",13,13,121060.790326359,121060.790326359,13,13,13,13
"Acratocnus_odontrigonus","Pilosa","Megalonychidae",0,3,0,27937.1054599291,0,3,0,3
"Acratocnus_ye","Pilosa","Megalonychidae",0,20,0,186247.369732861,0,20,0,20
"Acrobates_pygmaeus","Diprotodontia","Acrobatidae",198,204,1843848.96035532,1899723.17127518,198,204,198,204
"Addax_nasomaculatus","Cetartiodactyla","Bovidae",24,153,223496.843679433,1424792.37845638,24,153,24,153
"Aegialomys_galapagoensis","Rodentia","Cricetidae",1,2,9312.36848664304,18624.7369732861,1,2,1,2
"Aegialomys_xanthaeolus","Rodentia","Cricetidae",66,66,614616.32011844,614616.32011844,66,66,66,66
"Aepeomys_lugens","Rodentia","Cricetidae",7,7,65186.5794065013,65186.5794065013,7,7,7,7
"Aepeomys_reigi","Rodentia","Cricetidae",3,3,27937.1054599291,27937.1054599291,3,3,3,3
"Aepyceros_melampus","Cetartiodactyla","Bovidae",461,461,4293001.87234244,4293001.87234244,461,461,461,461
"Aepyprymnus_rufescens","Diprotodontia","Potoroidae",95,127,884675.006231088,1182670.79780367,95,127,95,127
"Aeretes_melanopterus","Rodentia","Sciuridae",17,17,158310.264272932,158310.264272932,17,17,17,17
"Aeromys_tephromelas","Rodentia","Sciuridae",83,141,772926.584391372,1313043.95661667,83,141,83,141
"Aeromys_thomasi","Rodentia","Sciuridae",73,73,679802.899524942,679802.899524942,73,73,73,73
"Aethomys_bocagei","Rodentia","Muridae",47,47,437681.318872223,437681.318872223,47,47,47,47
"Aethomys_chrysophilus","Rodentia","Muridae",529,529,4926242.92943417,4926242.92943417,529,529,529,529
"Aethomys_granti","Rodentia","Muridae",27,27,251433.949139362,251433.949139362,27,27,27,27
"Aethomys_hindei","Rodentia","Muridae",316,316,2942708.4417792,2942708.4417792,316,316,316,316
"Aethomys_ineptus","Rodentia","Muridae",84,84,782238.952878015,782238.952878015,84,84,84,84
"Aethomys_kaiseri","Rodentia","Muridae",237,237,2207031.3313344,2207031.3313344,237,237,237,237
"Aethomys_namaquensis","Rodentia","Muridae",417,417,3883257.65893015,3883257.65893015,417,417,417,417
"Aethomys_nyikae","Rodentia","Muridae",126,126,1173358.42931702,1173358.42931702,126,126,126,126
"Aethomys_silindensis","Rodentia","Muridae",9,9,83811.3163797873,83811.3163797873,9,9,9,9
"Aethomys_stannarius","Rodentia","Muridae",26,26,242121.580652719,242121.580652719,26,26,26,26
"Aethomys_thomasi","Rodentia","Muridae",47,47,437681.318872223,437681.318872223,47,47,47,47
"Agalmaceros_blicki","Cetartiodactyla","Cervidae",0,80,0,744989.478931443,0,80,0,80
"Ailuropoda_melanoleuca","Carnivora","Ursidae",26,211,242121.580652719,1964909.75068168,26,211,26,211
"Ailurops_melanotis","Diprotodontia","Phalangeridae",3,3,27937.1054599291,27937.1054599291,3,3,3,3
"Ailurops_ursinus","Diprotodontia","Phalangeridae",53,53,493555.529792081,493555.529792081,53,53,53,53
"Ailurus_fulgens","Carnivora","Ailuridae",84,137,782238.952878015,1275794.4826701,84,137,84,137
"Akodon_aerosus","Rodentia","Cricetidae",46,46,428368.95038558,428368.95038558,46,46,46,46
"Akodon_affinis","Rodentia","Cricetidae",14,14,130373.158813003,130373.158813003,14,14,14,14
"Akodon_albiventer","Rodentia","Cricetidae",68,68,633241.057091726,633241.057091726,68,68,68,68
"Akodon_aliquantulus","Rodentia","Cricetidae",1,1,9312.36848664304,9312.36848664304,1,1,1,1
"Akodon_azarae","Rodentia","Cricetidae",171,171,1592415.01121596,1592415.01121596,171,171,171,171
"Akodon_boliviensis","Rodentia","Cricetidae",45,45,419056.581898937,419056.581898937,45,45,45,45
"Akodon_budini","Rodentia","Cricetidae",7,7,65186.5794065013,65186.5794065013,7,7,7,7
"Akodon_cursor","Rodentia","Cricetidae",132,132,1229232.64023688,1229232.64023688,132,132,132,132
"Akodon_dayi","Rodentia","Cricetidae",51,51,474930.792818795,474930.792818795,51,51,51,51
"Akodon_dolores","Rodentia","Cricetidae",17,17,158310.264272932,158310.264272932,17,17,17,17
"Akodon_fumeus","Rodentia","Cricetidae",36,36,335245.265519149,335245.265519149,36,36,36,36
"Akodon_iniscatus","Rodentia","Cricetidae",89,89,828800.79531123,828800.79531123,89,89,89,89
"Akodon_juninensis","Rodentia","Cricetidae",29,29,270058.686112648,270058.686112648,29,29,29,29
"Akodon_kofordi","Rodentia","Cricetidae",9,9,83811.3163797873,83811.3163797873,9,9,9,9
"Akodon_leucolimnaeus","Rodentia","Cricetidae",2,2,18624.7369732861,18624.7369732861,2,2,2,2
"Akodon_lindberghi","Rodentia","Cricetidae",6,30,55874.2109198582,279371.054599291,6,30,6,30
"Akodon_lutescens","Rodentia","Cricetidae",34,34,316620.528545863,316620.528545863,34,34,34,34
"Akodon_mimus","Rodentia","Cricetidae",19,19,176935.001246218,176935.001246218,19,19,19,19
"Akodon_molinae","Rodentia","Cricetidae",70,70,651865.794065012,651865.794065012,70,70,70,70
"Akodon_mollis","Rodentia","Cricetidae",52,52,484243.161305438,484243.161305438,52,52,52,52
"Akodon_montensis","Rodentia","Cricetidae",147,147,1368918.16753653,1368918.16753653,147,147,147,147
"Akodon_mystax","Rodentia","Cricetidae",3,3,27937.1054599291,27937.1054599291,3,3,3,3
"Akodon_neocenus","Rodentia","Cricetidae",12,12,111748.421839716,111748.421839716,12,12,12,12
"Akodon_oenos","Rodentia","Cricetidae",2,2,18624.7369732861,18624.7369732861,2,2,2,2
"Akodon_orophilus","Rodentia","Cricetidae",14,14,130373.158813003,130373.158813003,14,14,14,14
"Akodon_paranaensis","Rodentia","Cricetidae",53,53,493555.529792081,493555.529792081,53,53,53,53
"Akodon_pervalens","Rodentia","Cricetidae",8,8,74498.9478931443,74498.9478931443,8,8,8,8
"Akodon_philipmyersi","Rodentia","Cricetidae",1,1,9312.36848664304,9312.36848664304,1,1,1,1
"Akodon_reigi","Rodentia","Cricetidae",13,13,121060.790326359,121060.790326359,13,13,13,13
"Akodon_sanctipaulensis","Rodentia","Cricetidae",2,2,18624.7369732861,18624.7369732861,2,2,2,2
"Akodon_serrensis","Rodentia","Cricetidae",55,55,512180.266765367,512180.266765367,55,55,55,55
"Akodon_siberiae","Rodentia","Cricetidae",10,10,93123.6848664304,93123.6848664304,10,10,10,10
"Akodon_simulator","Rodentia","Cricetidae",33,33,307308.16005922,307308.16005922,33,33,33,33
"Akodon_spegazzinii","Rodentia","Cricetidae",16,16,148997.895786289,148997.895786289,16,16,16,16
"Akodon_subfuscus","Rodentia","Cricetidae",39,39,363182.370979078,363182.370979078,39,39,39,39
"Akodon_surdus","Rodentia","Cricetidae",5,5,46561.8424332152,46561.8424332152,5,5,5,5
"Akodon_sylvanus","Rodentia","Cricetidae",14,14,130373.158813003,130373.158813003,14,14,14,14
"Akodon_toba","Rodentia","Cricetidae",67,67,623928.688605083,623928.688605083,67,67,67,67
"Akodon_torques","Rodentia","Cricetidae",19,19,176935.001246218,176935.001246218,19,19,19,19
"Akodon_varius","Rodentia","Cricetidae",40,40,372494.739465721,372494.739465721,40,40,40,40
"Alcelaphus_buselaphus","Cetartiodactyla","Bovidae",952,1116,8865374.79928417,10392603.2310936,952,1116,952,1116
"Alces_alces","Cetartiodactyla","Cervidae",2946,3398,27434237.5616504,31643428.117613,2946,3398,2946,3398
"Allactaga_balikunica","Rodentia","Dipodidae",48,48,446993.687358866,446993.687358866,48,48,48,48
"Allactaga_bullata","Rodentia","Dipodidae",214,214,1992846.85614161,1992846.85614161,214,214,214,214
"Allactaga_elater","Rodentia","Dipodidae",539,539,5019366.6143006,5019366.6143006,539,539,539,539
"Allactaga_euphratica","Rodentia","Dipodidae",102,102,949861.58563759,949861.58563759,102,102,102,102
"Allactaga_firouzi","Rodentia","Dipodidae",4,4,37249.4739465721,37249.4739465721,4,4,4,4
"Allactaga_hotsoni","Rodentia","Dipodidae",74,74,689115.268011585,689115.268011585,74,74,74,74
"Allactaga_major","Rodentia","Dipodidae",582,582,5419798.45922625,5419798.45922625,582,582,582,582
"Allactaga_severtzovi","Rodentia","Dipodidae",150,150,1396855.27299646,1396855.27299646,150,150,150,150
"Allactaga_sibirica","Rodentia","Dipodidae",740,740,6891152.68011585,6891152.68011585,740,740,740,740
"Allactaga_tetradactyla","Rodentia","Dipodidae",18,21,167622.632759575,195559.738219504,18,21,18,21
"Allactaga_vinogradovi","Rodentia","Dipodidae",24,24,223496.843679433,223496.843679433,24,24,24,24
"Allactaga_williamsi","Rodentia","Dipodidae",128,128,1191983.16629031,1191983.16629031,128,128,128,128
"Allactodipus_bobrinskii","Rodentia","Dipodidae",62,62,577366.846171868,577366.846171868,62,62,62,62
"Allenopithecus_nigroviridis","Primates","Cercopithecidae",75,75,698427.636498228,698427.636498228,75,75,75,75
"Allocebus_trichotis","Primates","Cheirogaleidae",16,39,148997.895786289,363182.370979078,16,39,16,39
"Allochrocebus_lhoesti","Primates","Cercopithecidae",44,44,409744.213412294,409744.213412294,44,44,44,44
"Allochrocebus_preussi","Primates","Cercopithecidae",12,13,111748.421839716,121060.790326359,12,13,12,13
"Allochrocebus_solatus","Primates","Cercopithecidae",5,5,46561.8424332152,46561.8424332152,5,5,5,5
"Allocricetulus_curtatus","Rodentia","Cricetidae",211,211,1964909.75068168,1964909.75068168,211,211,211,211
"Allocricetulus_eversmanni","Rodentia","Cricetidae",248,248,2309467.38468747,2309467.38468747,248,248,248,248
"Alouatta_arctoidea","Primates","Atelidae",64,64,595991.583145154,595991.583145154,64,64,64,64
"Alouatta_belzebul","Primates","Atelidae",131,131,1219920.27175024,1219920.27175024,131,131,131,131
"Alouatta_caraya","Primates","Atelidae",396,396,3687697.92071064,3687697.92071064,396,396,396,396
"Alouatta_discolor","Primates","Atelidae",64,64,595991.583145154,595991.583145154,64,64,64,64
"Alouatta_guariba","Primates","Atelidae",158,158,1471354.2208896,1471354.2208896,158,158,158,158
"Alouatta_macconnelli","Primates","Atelidae",232,232,2160469.48890118,2160469.48890118,232,232,232,232
"Alouatta_nigerrima","Primates","Atelidae",42,42,391119.476439007,391119.476439007,42,42,42,42
"Alouatta_palliata","Primates","Atelidae",125,125,1164046.06083038,1164046.06083038,125,125,125,125
"Alouatta_pigra","Primates","Atelidae",41,41,381807.107952364,381807.107952364,41,41,41,41
"Alouatta_sara","Primates","Atelidae",60,60,558742.109198582,558742.109198582,60,60,60,60
"Alouatta_seniculus","Primates","Atelidae",0,0,0,0,0,0,0,0
"Alouatta_ululata","Primates","Atelidae",22,22,204872.106706147,204872.106706147,22,22,22,22
"Alticola_albicaudus","Rodentia","Cricetidae",16,16,148997.895786289,148997.895786289,16,16,16,16
"Alticola_argentatus","Rodentia","Cricetidae",219,219,2039408.69857482,2039408.69857482,219,219,219,219
"Alticola_barakshin","Rodentia","Cricetidae",63,63,586679.214658511,586679.214658511,63,63,63,63
"Alticola_lemminus","Rodentia","Cricetidae",369,369,3436263.97157128,3436263.97157128,369,369,369,369
"Alticola_macrotis","Rodentia","Cricetidae",114,114,1061610.00747731,1061610.00747731,114,114,114,114
"Alticola_montosa","Rodentia","Cricetidae",8,8,74498.9478931443,74498.9478931443,8,8,8,8
"Alticola_olchonensis","Rodentia","Cricetidae",2,2,18624.7369732861,18624.7369732861,2,2,2,2
"Alticola_roylei","Rodentia","Cricetidae",14,14,130373.158813003,130373.158813003,14,14,14,14
"Alticola_semicanus","Rodentia","Cricetidae",116,116,1080234.74445059,1080234.74445059,116,116,116,116
"Alticola_stoliczkanus","Rodentia","Cricetidae",292,292,2719211.59809977,2719211.59809977,292,292,292,292
"Alticola_strelzowi","Rodentia","Cricetidae",97,97,903299.743204374,903299.743204374,97,97,97,97
"Alticola_tuvinicus","Rodentia","Cricetidae",37,37,344557.634005792,344557.634005792,37,37,37,37
"Amblyrhiza_inundata","Rodentia","Echimyidae",0,2,0,18624.7369732861,0,2,0,2
"Amblysomus_corriae","Afrosoricida","Chrysochloridae",16,16,148997.895786289,148997.895786289,16,16,16,16
"Amblysomus_hottentotus","Afrosoricida","Chrysochloridae",42,42,391119.476439007,391119.476439007,42,42,42,42
"Amblysomus_marleyi","Afrosoricida","Chrysochloridae",4,4,37249.4739465721,37249.4739465721,4,4,4,4
"Amblysomus_robustus","Afrosoricida","Chrysochloridae",5,5,46561.8424332152,46561.8424332152,5,5,5,5
"Amblysomus_septentrionalis","Afrosoricida","Chrysochloridae",15,15,139685.527299646,139685.527299646,15,15,15,15
"Ammodillus_imbellis","Rodentia","Muridae",26,26,242121.580652719,242121.580652719,26,26,26,26
"Ammodorcas_clarkei","Cetartiodactyla","Bovidae",26,41,242121.580652719,381807.107952364,26,41,26,41
"Ammospermophilus_harrisii","Rodentia","Sciuridae",44,44,409744.213412294,409744.213412294,44,44,44,44
"Ammospermophilus_interpres","Rodentia","Sciuridae",54,54,502867.898278724,502867.898278724,54,54,54,54
"Ammospermophilus_leucurus","Rodentia","Sciuridae",162,162,1508603.69483617,1508603.69483617,162,162,162,162
"Ammospermophilus_nelsoni","Rodentia","Sciuridae",4,6,37249.4739465721,55874.2109198582,4,6,4,6
"Ammotragus_lervia","Cetartiodactyla","Bovidae",309,873,2877521.8623727,8129697.68883937,309,873,309,873
"Amphinectomys_savamis","Rodentia","Cricetidae",1,1,9312.36848664304,9312.36848664304,1,1,1,1
"Anathana_ellioti","Scandentia","Tupaiidae",188,188,1750725.27548889,1750725.27548889,188,188,188,188
"Andalgalomys_olrogi","Rodentia","Cricetidae",15,15,139685.527299646,139685.527299646,15,15,15,15
"Andalgalomys_pearsoni","Rodentia","Cricetidae",25,25,232809.212166076,232809.212166076,25,25,25,25
"Andinomys_edax","Rodentia","Cricetidae",49,49,456306.055845509,456306.055845509,49,49,49,49
"Anisomys_imitator","Rodentia","Muridae",46,46,428368.95038558,428368.95038558,46,46,46,46
"Anomalurus_beecrofti","Rodentia","Anomaluridae",424,424,3948444.23833665,3948444.23833665,424,424,424,424
"Anomalurus_derbianus","Rodentia","Anomaluridae",723,723,6732842.41584291,6732842.41584291,723,723,723,723
"Anomalurus_pelii","Rodentia","Anomaluridae",44,44,409744.213412294,409744.213412294,44,44,44,44
"Anomalurus_pusillus","Rodentia","Anomaluridae",94,94,875362.637744445,875362.637744445,94,94,94,94
"Anonymomys_mindorensis","Rodentia","Muridae",2,5,18624.7369732861,46561.8424332152,2,5,2,5
"Anotomys_leander","Rodentia","Cricetidae",6,6,55874.2109198582,55874.2109198582,6,6,6,6
"Anourosorex_assamensis","Eulipotyphla","Soricidae",11,11,102436.053353073,102436.053353073,11,11,11,11
"Anourosorex_schmidi","Eulipotyphla","Soricidae",7,9,65186.5794065013,83811.3163797873,7,9,7,9
"Anourosorex_squamipes","Eulipotyphla","Soricidae",173,173,1611039.74818925,1611039.74818925,173,173,173,173
"Anourosorex_yamashinai","Eulipotyphla","Soricidae",10,10,93123.6848664304,93123.6848664304,10,10,10,10
"Antechinomys_laniger","Dasyuromorphia","Dasyuridae",341,341,3175517.65394528,3175517.65394528,341,341,341,341
"Antechinus_adustus","Dasyuromorphia","Dasyuridae",6,6,55874.2109198582,55874.2109198582,6,6,6,6
"Antechinus_agilis","Dasyuromorphia","Dasyuridae",39,39,363182.370979078,363182.370979078,39,39,39,39
"Antechinus_bellus","Dasyuromorphia","Dasyuridae",14,14,130373.158813003,130373.158813003,14,14,14,14
"Antechinus_flavipes","Dasyuromorphia","Dasyuridae",168,168,1564477.90575603,1564477.90575603,168,168,168,168
"Antechinus_godmani","Dasyuromorphia","Dasyuridae",2,2,18624.7369732861,18624.7369732861,2,2,2,2
"Antechinus_leo","Dasyuromorphia","Dasyuridae",3,3,27937.1054599291,27937.1054599291,3,3,3,3
"Antechinus_minimus","Dasyuromorphia","Dasyuridae",33,33,307308.16005922,307308.16005922,33,33,33,33
"Antechinus_stuartii","Dasyuromorphia","Dasyuridae",27,27,251433.949139362,251433.949139362,27,27,27,27
"Antechinus_subtropicus","Dasyuromorphia","Dasyuridae",7,7,65186.5794065013,65186.5794065013,7,7,7,7
"Antechinus_swainsonii","Dasyuromorphia","Dasyuridae",76,76,707740.004984871,707740.004984871,76,76,76,76
"Antidorcas_australis","Cetartiodactyla","Bovidae",0,128,0,1191983.16629031,0,128,0,128
"Antidorcas_bondi","Cetartiodactyla","Bovidae",0,748,0,6965651.62800899,0,748,0,748
"Antidorcas_marsupialis","Cetartiodactyla","Bovidae",263,263,2449152.91198712,2449152.91198712,263,263,263,263
"Antifer_ultra","Cetartiodactyla","Cervidae",0,336,0,3128955.81151206,0,336,0,336
"Antillomys_rayi","Rodentia","Cricetidae",0,2,0,18624.7369732861,0,2,0,2
"Antillothrix_bernensis","Primates","Pitheciidae",0,20,0,186247.369732861,0,20,0,20
"Antilocapra_americana","Cetartiodactyla","Antilocapridae",368,681,3426951.60308464,6341722.93940391,368,681,368,681
"Antilope_cervicapra","Cetartiodactyla","Bovidae",251,354,2337404.4901474,3296578.44427163,251,354,251,354
"Aonyx_capensis","Carnivora","Mustelidae",1469,1469,13679869.3068786,13679869.3068786,1469,1469,1469,1469
"Aonyx_cinereus","Carnivora","Mustelidae",747,747,6956339.25952235,6956339.25952235,747,747,747,747
"Aonyx_congicus","Carnivora","Mustelidae",366,366,3408326.86611135,3408326.86611135,366,366,366,366
"Aotus_azarae","Primates","Aotidae",417,417,3883257.65893015,3883257.65893015,417,417,417,417
"Aotus_brumbacki","Primates","Aotidae",27,27,251433.949139362,251433.949139362,27,27,27,27
"Aotus_griseimembra","Primates","Aotidae",48,48,446993.687358866,446993.687358866,48,48,48,48
"Aotus_jorgehernandezi","Primates","Aotidae",1,25,9312.36848664304,232809.212166076,1,25,1,25
"Aotus_lemurinus","Primates","Aotidae",52,52,484243.161305438,484243.161305438,52,52,52,52
"Aotus_miconax","Primates","Aotidae",16,16,148997.895786289,148997.895786289,16,16,16,16
"Aotus_nancymaae","Primates","Aotidae",81,81,754301.847418086,754301.847418086,81,81,81,81
"Aotus_nigriceps","Primates","Aotidae",204,204,1899723.17127518,1899723.17127518,204,204,204,204
"Aotus_trivirgatus","Primates","Aotidae",113,113,1052297.63899066,1052297.63899066,113,113,113,113
"Aotus_vociferans","Primates","Aotidae",146,146,1359605.79904988,1359605.79904988,146,146,146,146
"Aotus_zonalis","Primates","Aotidae",42,20,391119.476439007,186247.369732861,42,20,42,20
"Aplodontia_rufa","Rodentia","Aplodontiidae",60,60,558742.109198582,558742.109198582,60,60,60,60
"Apodemus_agrarius","Rodentia","Muridae",1534,1534,14285173.2585104,14285173.2585104,1534,1534,1534,1534
"Apodemus_alpicola","Rodentia","Muridae",27,27,251433.949139362,251433.949139362,27,27,27,27
"Apodemus_argenteus","Rodentia","Muridae",92,92,856737.900771159,856737.900771159,92,92,92,92
"Apodemus_avicennicus","Rodentia","Muridae",1,1,9312.36848664304,9312.36848664304,1,1,1,1
"Apodemus_chevrieri","Rodentia","Muridae",128,128,1191983.16629031,1191983.16629031,128,128,128,128
"Apodemus_draco","Rodentia","Muridae",268,268,2495714.75442033,2495714.75442033,268,268,268,268
"Apodemus_epimelas","Rodentia","Muridae",47,47,437681.318872223,437681.318872223,47,47,47,47
"Apodemus_flavicollis","Rodentia","Muridae",892,892,8306632.69008559,8306632.69008559,892,892,892,892
"Apodemus_gurkha","Rodentia","Muridae",8,8,74498.9478931443,74498.9478931443,8,8,8,8
"Apodemus_hyrcanicus","Rodentia","Muridae",24,24,223496.843679433,223496.843679433,24,24,24,24
"Apodemus_latronum","Rodentia","Muridae",94,94,875362.637744445,875362.637744445,94,94,94,94
"Apodemus_mystacinus","Rodentia","Muridae",134,134,1247857.37721017,1247857.37721017,134,134,134,134
"Apodemus_pallipes","Rodentia","Muridae",127,127,1182670.79780367,1182670.79780367,127,127,127,127
"Apodemus_peninsulae","Rodentia","Muridae",1204,1204,11212091.6579182,11212091.6579182,1204,1204,1204,1204
"Apodemus_ponticus","Rodentia","Muridae",60,60,558742.109198582,558742.109198582,60,60,60,60
"Apodemus_rusiges","Rodentia","Muridae",31,31,288683.423085934,288683.423085934,31,31,31,31
"Apodemus_semotus","Rodentia","Muridae",10,10,93123.6848664304,93123.6848664304,10,10,10,10
"Apodemus_speciosus","Rodentia","Muridae",97,97,903299.743204374,903299.743204374,97,97,97,97
"Apodemus_sylvaticus","Rodentia","Muridae",783,778,7291584.5250415,7245022.68260828,783,778,783,778
"Apodemus_uralensis","Rodentia","Muridae",970,970,9032997.43204374,9032997.43204374,970,970,970,970
"Apodemus_witherbyi","Rodentia","Muridae",254,254,2365341.59560733,2365341.59560733,254,254,254,254
"Apomys_abrae","Rodentia","Muridae",7,7,65186.5794065013,65186.5794065013,7,7,7,7
"Apomys_camiguinensis","Rodentia","Muridae",1,2,9312.36848664304,18624.7369732861,1,2,1,2
"Apomys_datae","Rodentia","Muridae",7,7,65186.5794065013,65186.5794065013,7,7,7,7
"Apomys_gracilirostris","Rodentia","Muridae",2,5,18624.7369732861,46561.8424332152,2,5,2,5
"Apomys_hylocetes","Rodentia","Muridae",4,4,37249.4739465721,37249.4739465721,4,4,4,4
"Apomys_insignis","Rodentia","Muridae",25,25,232809.212166076,232809.212166076,25,25,25,25
"Apomys_littoralis","Rodentia","Muridae",6,14,55874.2109198582,130373.158813003,6,14,6,14
"Apomys_microdon","Rodentia","Muridae",26,26,242121.580652719,242121.580652719,26,26,26,26
"Apomys_musculus","Rodentia","Muridae",26,26,242121.580652719,242121.580652719,26,26,26,26
"Apomys_sacobianus","Rodentia","Muridae",1,1,9312.36848664304,9312.36848664304,1,1,1,1
"Arabitragus_jayakari","Cetartiodactyla","Bovidae",15,15,139685.527299646,139685.527299646,15,15,15,15
"Arborimus_albipes","Rodentia","Cricetidae",19,19,176935.001246218,176935.001246218,19,19,19,19
"Arborimus_longicaudus","Rodentia","Cricetidae",16,16,148997.895786289,148997.895786289,16,16,16,16
"Arborimus_pomo","Rodentia","Cricetidae",10,10,93123.6848664304,93123.6848664304,10,10,10,10
"Archaeoindris_fontoynonti","Primates","Palaeopropithecidae",0,41,0,381807.107952364,0,41,0,41
"Archaeolemur_edwardsi","Primates","Archaeolemuridae",0,41,0,381807.107952364,0,41,0,41
"Archaeolemur_majori","Primates","Archaeolemuridae",0,36,0,335245.265519149,0,36,0,36
"Archboldomys_luzonensis","Rodentia","Muridae",1,1,9312.36848664304,9312.36848664304,1,1,1,1
"Arctictis_binturong","Carnivora","Viverridae",490,507,4563060.55845509,4721370.82272802,490,507,490,507
"Arctocebus_aureus","Primates","Lorisidae",96,96,893987.374717731,893987.374717731,96,96,96,96
"Arctocebus_calabarensis","Primates","Lorisidae",28,28,260746.317626005,260746.317626005,28,28,28,28
"Arctocephalus_australis","Carnivora","Otariidae",334,334,3110331.07453877,3110331.07453877,334,334,334,334
"Arctocephalus_forsteri","Carnivora","Otariidae",1403,1403,13065252.9867602,13065252.9867602,1403,1403,1403,1403
"Arctocephalus_galapagoensis","Carnivora","Otariidae",23,23,214184.47519279,214184.47519279,23,23,23,23
"Arctocephalus_gazella","Carnivora","Otariidae",1728,1728,16091772.7449192,16091772.7449192,1728,1728,1728,1728
"Arctocephalus_philippii","Carnivora","Otariidae",464,464,4320938.97780237,4320938.97780237,464,464,464,464
"Arctocephalus_pusillus","Carnivora","Otariidae",225,225,2095282.90949468,2095282.90949468,225,225,225,225
"Arctocephalus_townsendi","Carnivora","Otariidae",185,185,1722788.17002896,1722788.17002896,185,185,185,185
"Arctocephalus_tropicalis","Carnivora","Otariidae",1648,1648,15346783.2659877,15346783.2659877,1648,1648,1648,1648
