"Binomial.1.2","Order.1.2","Family.1.2","current.range.x","present.natural.range.x","current.range.km2","present.natural.range.km2","current.range.y","present.natural.range.y","current.range","present.natural.range"
"Saguinus_geoffroyi","Primates","Callitrichidae",23,23,214184.47519279,214184.47519279,23,23,23,23
"Saguinus_imperator","Primates","Callitrichidae",42,42,391119.476439007,391119.476439007,42,42,42,42
"Saguinus_inustus","Primates","Callitrichidae",65,65,605303.951631797,605303.951631797,65,65,65,65
"Saguinus_labiatus","Primates","Callitrichidae",62,62,577366.846171868,577366.846171868,62,62,62,62
"Saguinus_leucopus","Primates","Callitrichidae",16,16,148997.895786289,148997.895786289,16,16,16,16
"Saguinus_martinsi","Primates","Callitrichidae",11,11,102436.053353073,102436.053353073,11,11,11,11
"Saguinus_melanoleucus","Primates","Callitrichidae",14,14,130373.158813003,130373.158813003,14,14,14,14
"Saguinus_midas","Primates","Callitrichidae",120,120,1117484.21839716,1117484.21839716,120,120,120,120
"Saguinus_mystax","Primates","Callitrichidae",92,92,856737.900771159,856737.900771159,92,92,92,92
"Saguinus_niger","Primates","Callitrichidae",91,91,847425.532284516,847425.532284516,91,91,91,91
"Saguinus_nigricollis","Primates","Callitrichidae",47,47,437681.318872223,437681.318872223,47,47,47,47
"Saguinus_oedipus","Primates","Callitrichidae",16,16,148997.895786289,148997.895786289,16,16,16,16
"Saguinus_tripartitus","Primates","Callitrichidae",10,10,93123.6848664304,93123.6848664304,10,10,10,10
"Saiga_tatarica","Cetartiodactyla","Bovidae",137,1338,1275794.4826701,12459949.0351284,137,1338,137,1338
"Saimiri_boliviensis","Primates","Cebidae",194,194,1806599.48640875,1806599.48640875,194,194,194,194
"Saimiri_oerstedii","Primates","Cebidae",6,6,55874.2109198582,55874.2109198582,6,6,6,6
"Saimiri_sciureus","Primates","Cebidae",574,574,5345299.5113331,5345299.5113331,574,574,574,574
"Saimiri_ustus","Primates","Cebidae",124,124,1154733.69234374,1154733.69234374,124,124,124,124
"Saimiri_vanzolinii","Primates","Cebidae",4,4,37249.4739465721,37249.4739465721,4,4,4,4
"Salanoia_concolor","Carnivora","Eupleridae",10,27,93123.6848664304,251433.949139362,10,27,10,27
"Salinomys_delicatus","Rodentia","Cricetidae",13,13,121060.790326359,121060.790326359,13,13,13,13
"Salpingotulus_michaelis","Rodentia","Dipodidae",2,2,18624.7369732861,18624.7369732861,2,2,2,2
"Salpingotus_crassicauda","Rodentia","Dipodidae",207,207,1927660.27673511,1927660.27673511,207,207,207,207
"Salpingotus_heptneri","Rodentia","Dipodidae",10,10,93123.6848664304,93123.6848664304,10,10,10,10
"Salpingotus_kozlovi","Rodentia","Dipodidae",238,238,2216343.69982104,2216343.69982104,238,238,238,238
"Salpingotus_pallidus","Rodentia","Dipodidae",21,21,195559.738219504,195559.738219504,21,21,21,21
"Sangamona_fugitiva","Cetartiodactyla","Cervidae",0,731,0,6807341.36373606,0,731,0,731
"Santamartamys_rufodorsalis","Rodentia","Echimyidae",1,1,9312.36848664304,9312.36848664304,1,1,1,1
"Sapajus_apella","Primates","Cebidae",430,430,4004318.44925651,4004318.44925651,430,430,430,430
"Sapajus_cay","Primates","Cebidae",102,102,949861.58563759,949861.58563759,102,102,102,102
"Sapajus_flavius","Primates","Cebidae",22,22,204872.106706147,204872.106706147,22,22,22,22
"Sapajus_libidinosus","Primates","Cebidae",343,343,3194142.39091856,3194142.39091856,343,343,343,343
"Sapajus_macrocephalus","Primates","Cebidae",330,330,3073081.6005922,3073081.6005922,330,330,330,330
"Sapajus_nigritus","Primates","Cebidae",130,130,1210607.90326359,1210607.90326359,130,130,130,130
"Sapajus_robustus","Primates","Cebidae",25,25,232809.212166076,232809.212166076,25,25,25,25
"Sapajus_xanthosternos","Primates","Cebidae",74,74,689115.268011585,689115.268011585,74,74,74,74
"Sarcophilus_harrisii","Dasyuromorphia","Dasyuridae",18,388,167622.632759575,3613198.9728175,18,388,18,388
"Saxatilomys_paulinae","Rodentia","Muridae",4,4,37249.4739465721,37249.4739465721,4,4,4,4
"Scalopus_aquaticus","Eulipotyphla","Talpidae",463,463,4311626.60931573,4311626.60931573,463,463,463,463
"Scapanulus_oweni","Eulipotyphla","Talpidae",60,60,558742.109198582,558742.109198582,60,60,60,60
"Scapanus_latimanus","Eulipotyphla","Talpidae",65,65,605303.951631797,605303.951631797,65,65,65,65
"Scapanus_orarius","Eulipotyphla","Talpidae",59,59,549429.740711939,549429.740711939,59,59,59,59
"Scapanus_townsendii","Eulipotyphla","Talpidae",28,28,260746.317626005,260746.317626005,28,28,28,28
"Scapteromys_aquaticus","Rodentia","Cricetidae",51,51,474930.792818795,474930.792818795,51,51,51,51
"Scapteromys_tumidus","Rodentia","Cricetidae",51,51,474930.792818795,474930.792818795,51,51,51,51
"Scaptochirus_moschatus","Eulipotyphla","Talpidae",173,173,1611039.74818925,1611039.74818925,173,173,173,173
"Scaptonyx_fusicaudus","Eulipotyphla","Talpidae",134,134,1247857.37721017,1247857.37721017,134,134,134,134
"Scelidodon_chiliensis","Pilosa","Mylodontidae",0,131,0,1219920.27175024,0,131,0,131
"Scelidotherium_leptocephalum","Pilosa","Mylodontidae",0,123,0,1145421.32385709,0,123,0,123
"Sciurillus_pusillus","Rodentia","Sciuridae",154,154,1434104.74694303,1434104.74694303,154,154,154,154
"Sciurocheirus_alleni","Primates","Galagidae",22,22,204872.106706147,204872.106706147,22,22,22,22
"Sciurocheirus_gabonensis","Primates","Galagidae",101,101,940549.217150947,940549.217150947,101,101,101,101
"Sciurotamias_davidianus","Rodentia","Sciuridae",202,202,1881098.43430189,1881098.43430189,202,202,202,202
"Sciurotamias_forresti","Rodentia","Sciuridae",52,52,484243.161305438,484243.161305438,52,52,52,52
"Sciurus_aberti","Rodentia","Sciuridae",70,70,651865.794065012,651865.794065012,70,70,70,70
"Sciurus_aestuans","Rodentia","Sciuridae",856,856,7971387.42456644,7971387.42456644,856,856,856,856
"Sciurus_alleni","Rodentia","Sciuridae",14,14,130373.158813003,130373.158813003,14,14,14,14
"Sciurus_anomalus","Rodentia","Sciuridae",142,142,1322356.32510331,1322356.32510331,142,142,142,142
"Sciurus_arizonensis","Rodentia","Sciuridae",16,16,148997.895786289,148997.895786289,16,16,16,16
"Sciurus_aureogaster","Rodentia","Sciuridae",102,102,949861.58563759,949861.58563759,102,102,102,102
"Sciurus_carolinensis","Rodentia","Sciuridae",550,550,5121802.66765367,5121802.66765367,550,550,550,550
"Sciurus_colliaei","Rodentia","Sciuridae",29,29,270058.686112648,270058.686112648,29,29,29,29
"Sciurus_deppei","Rodentia","Sciuridae",114,114,1061610.00747731,1061610.00747731,114,114,114,114
"Sciurus_flammifer","Rodentia","Sciuridae",24,24,223496.843679433,223496.843679433,24,24,24,24
"Sciurus_gilvigularis","Rodentia","Sciuridae",190,226,1769350.01246218,2104595.27798133,190,226,190,226
"Sciurus_granatensis","Rodentia","Sciuridae",169,169,1573790.27424267,1573790.27424267,169,169,169,169
"Sciurus_griseus","Rodentia","Sciuridae",79,79,735677.1104448,735677.1104448,79,79,79,79
"Sciurus_ignitus","Rodentia","Sciuridae",211,216,1964909.75068168,2011471.5931149,211,216,211,216
