"","diet.breadth","null.N","trotter.N","limited.N","homies.N","prop.null","prop.homies","prop.lim","prop.trot","p.homies","p.lim","p.trot","signif.homies","signif.bonferoni.homies","signif.holm.homies","signif.sidak.homies","signif.holm.sidak.homies","signif.lim","signif.bonferoni.lim","signif.holm.lim","signif.sidak.lim","signif.holm.sidak.lim","signif.trot","signif.bonferoni.trot","signif.holm.trot","signif.sidak.trot","signif.holm.sidak.trot"
"1",2,1737,3,81,1653,0.396032831737346,0.40121359223301,0.311538461538462,0.5,0.503526750074991,0.00521836610017781,0.686954860502878,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2",1,2465,3,174,2288,0.562015503875969,0.555339805825243,0.669230769230769,0.5,0.387891744136676,0.00045166355577856,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"3",3,184,0,5,179,0.0419516643866849,0.0434466019417476,0.0192307692307692,0,0.613512504133018,0.085549616977701,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
