"diet.type","n.mass","n.na","per"
"diet.invertivore.tot",1420,553,0.280283831728332
"diet.carnivore.tot",281,49,0.148484848484848
"diet.browser.tot",1239,381,0.235185185185185
"diet.grazer.tot",493,121,0.197068403908795
"diet.piscivore.tot",28,1,0.0344827586206897
"diet.frugivore.tot",1460,469,0.243131156039399
