"family","order","n.foss.fam","n.foss.na","foss.per","n.phyl.fam","n.phyl.na","phyl.per","avg.size"
"Procaviidae","Hyracoidea",2,1,0.333333333333333,3,0,1,2943.32866666667
"Procyonidae","Carnivora",6,8,0.571428571428571,14,0,1,2740.69141666667
"Pseudocheiridae","Diprotodontia",2,4,0.666666666666667,6,0,1,1176.8
"Pteropodidae","Chiroptera",0,55,1,53,2,0.963636363636364,178.926212765957
"Ptilocercidae","Scandentia",0,1,1,1,0,1,42.5
"Rhinocerotidae","Perissodactyla",7,1,0.125,8,0,1,1880772.2291875
"Rhinolophidae","Chiroptera",2,58,0.966666666666667,59,1,0.983333333333333,11.6049268292683
"Rhinopomatidae","Chiroptera",0,4,1,4,0,1,17.0763333333333
"Sciuridae","Rodentia",32,195,0.859030837004405,224,3,0.986784140969163,719.912134259259
"Soricidae","Soricomorpha",20,302,0.937888198757764,317,5,0.984472049689441,13.2172612120188
"Spalacidae","Rodentia",0,36,1,21,15,0.583333333333333,456.638470588235
"Stegodontidae","Proboscidea",1,2,0.666666666666667,2,1,0.666666666666667,5417000
"Suidae","Artiodactyla",5,4,0.444444444444444,8,1,0.888888888888889,91396.370875
"Tachyglossidae","Monotremata",3,1,0.25,3,1,0.75,13659.875
"Talpidae","Soricomorpha",9,24,0.727272727272727,33,0,1,90.36412
"Tapiridae","Perissodactyla",3,4,0.571428571428571,6,1,0.857142857142857,277814.266571429
"Tarsiidae","Primates",0,1,1,1,0,1,78
"Tarsipedidae","Diprotodontia",0,1,1,1,0,1,9
"Tayassuidae","Artiodactyla",3,3,0.5,5,1,0.833333333333333,38533.358
"Tenrecidae","Afrosoricida",0,3,1,3,0,1,276.031666666667
"Thryonomyidae","Rodentia",0,2,1,2,0,1,2943.581
"Thylacinidae","Dasyuromorphia",1,0,0,1,0,1,30000
"Thylacoleonidae","Peramelemorphia",1,0,0,1,0,1,115000
"Thylacomyidae","Peramelemorphia",1,1,0.5,2,0,1,852
"Thyropteridae","Chiroptera",1,2,0.666666666666667,3,0,1,3.728
"Toxodontidae","Notoungulata",3,2,0.4,2,3,0.4,1168400
"Tragulidae","Artiodactyla",0,7,1,7,0,1,5625.00175
"Tupaiidae","Scandentia",0,6,1,6,0,1,127.8
"Ursidae","Carnivora",11,4,0.266666666666667,13,2,0.866666666666667,240751.384466667
"Vespertilionidae","Chiroptera",20,310,0.939393939393939,299,31,0.906060606060606,10.7476317073171
"Viverridae","Carnivora",6,27,0.818181818181818,33,0,1,4072.43375862069
"Vombatidae","Diprotodontia",4,5,0.555555555555556,6,3,0.666666666666667,54933.3333333333
