"","order","family","genus","species","binomial","diet.invertivore.tot","diet.carnivore.tot","diet.browser.tot","diet.grazer.tot","diet.piscivore.tot","diet.frugivore.tot","avg.mass","n.cont","continent.Africa","continent.North.America","continent.South.America","continent.Eurasia","continent.Australia","diet.breadth","family.origin","Max_longevity_d","Rspan_d","AFR_d","Calculated_GL_d","GenerationLength_d","accepted_name","lw.range","hi.range","foss.age","age.median","current.range","present.natural.range","current.range.km2","present.natural.range.km2","home.range.km2","indiv.home.range.km2","dispersal.age.d"
"1171","Chiroptera","Hipposideridae","Hipposideros","lylei","Hipposideros lylei",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,40,"1",FALSE,FALSE,FALSE,TRUE,FALSE,1,"Eurasia","no information","no information",NA,"no information",1834.2256,NA,NA,NA,NA,4.3806946985,NA,NA,NA,NA,NA,NA,NA
"1172","Rodentia","Nesomyidae","Steatomys","opimus","Steatomys opimus",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,40,"1",TRUE,FALSE,FALSE,FALSE,FALSE,2,"Africa","no information","no information",NA,"no information",604.575,NA,NA,NA,NA,0.37749549835,NA,NA,NA,NA,NA,NA,NA
"1173","Rodentia","Muridae","Acomys","chudeaui","Acomys chudeaui",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,40,"1",TRUE,FALSE,FALSE,FALSE,FALSE,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1174","Rodentia","Cricetidae","Microtus","tatricus","Microtus tatricus",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,40,"1",FALSE,FALSE,FALSE,TRUE,FALSE,2,"Eurasia","no information","no information",NA,"no information",373.6238021,NA,NA,NA,NA,0.70962165145,NA,NA,NA,NA,NA,NA,NA
"1175","Rodentia","Cricetidae","Graomys","edithae","Graomys edithae",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,40.4,"1",FALSE,FALSE,TRUE,FALSE,FALSE,2,"Eurasia","no information","no information",NA,"no information",589.3882991,NA,NA,NA,NA,1.985994904,NA,NA,NA,NA,NA,NA,NA
"1176","Chiroptera","Phyllostomidae","Phyllostomus","elongatus","Phyllostomus elongatus",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,40.425,"1",FALSE,FALSE,TRUE,FALSE,FALSE,2,"South.America","no information","no information",NA,"no information",2064.27635,NA,NA,NA,NA,1.5365551415,NA,NA,NA,NA,NA,NA,NA
"1177","Rodentia","Muridae","Uranomys","ruddi","Uranomys ruddi",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,40.429,"1",TRUE,FALSE,FALSE,FALSE,FALSE,2,"","no information","no information",NA,"no information",624.3996409,NA,NA,NA,NA,16.82505309,NA,NA,NA,NA,NA,NA,NA
"1178","Didelphimorphia","Didelphidae","Marmosops","impavidus","Marmosops impavidus",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,40.5,"1",FALSE,FALSE,TRUE,FALSE,FALSE,2,"South.America","no information","no information",NA,"no information",642.840025,NA,NA,NA,NA,2.863380315,NA,NA,NA,NA,NA,NA,NA
"1179","Rodentia","Muridae","Xeromys","myoides","Xeromys myoides",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,41,"1",FALSE,FALSE,FALSE,FALSE,TRUE,1,"","no information","no information",NA,"no information",624.3996409,NA,NA,NA,NA,4.899163763,NA,NA,NA,NA,NA,NA,NA
"1180","Rodentia","Cricetidae","Melanomys","caliginosus","Melanomys caliginosus",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,41,"1",FALSE,FALSE,TRUE,FALSE,FALSE,2,"Eurasia","no information","no information",NA,"no information",589.3882991,NA,NA,NA,NA,0.6609859848,NA,NA,NA,NA,NA,NA,NA
