"North.America","South.America","Eurasia","Africa","Australia"
NA,0.16243148978575,0.0202839756592292,0.00510986203372509,0
NA,NA,0.000845665961945032,0.000851063829787234,0
NA,NA,NA,0.0734341252699784,0.00666222518321119
NA,NA,NA,NA,0.00134589502018843
NA,NA,NA,NA,NA
