"log.size.bin","n.foss.age","n.foss.na","foss.per","n.phyl.age","n.phyl.na","phyl.per"
0,30,355,0.922077922077922,374,11,0.0285714285714286
1,133,1182,0.898859315589354,1254,61,0.0463878326996198
2,114,606,0.841666666666667,686,34,0.0472222222222222
3,129,307,0.704128440366973,405,31,0.0711009174311927
4,113,140,0.553359683794466,220,33,0.130434782608696
5,89,71,0.44375,99,61,0.38125
6,33,13,0.282608695652174,33,13,0.282608695652174
7,2,0,0,1,1,0.5
NA,18,1051,0.983161833489242,896,173,0.161833489242282
