"family.origin","N","N.Africa","N.Australia","N.South.America","N.North.America","N.Eurasia","N.jump","prop.origin","prop.jump","prop.stay","prop.leave"
"Australia",205,0,205,0,0,0,"0","1","0",0.0613588745884466,0
"Africa",299,216,6,12,4,61,"83","0.722408026755853","0.277591973244147",0.0646513020053876,0.0248428614187369
"Eurasia",1675,394,17,376,298,590,"1085","0.352238805970149","0.647761194029851",0.176593834181383,0.324753067943729
"North.America",587,102,33,71,196,185,"391","0.333901192504259","0.666098807495741",0.0586650703382221,0.117030829093086
"South.America",575,0,0,539,36,0,"36","0.937391304347826","0.0626086956521739",0.161328943430111,0.0107752170008979
